,Unnamed: 0,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date,title_length,text_length,time_lapsed,Deviation of star ratings,FOG Index,Flesch Reading Ease,ContentDepth,ContentBreadth
848,848,sidneyhotel,"locationsize of bed 
need more food choice at breakfast",2022-02-24,7.0,7.8,12641,0,0,Hamilton is a great musical conveniently next to hotel,3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02,9,9,1012,0.7999999999999998,8.04,79.26,2.120346886395035,0.8677661404712793
849,849,milleniumgloucester,"Location was great, triple room with three normal beds and not a sofa bed was good Great Chinese restaurant in the  hotel next door the Baileys Hotelbathroom needs updating, reception needs updating, one of the concierges was a bit miserable and sent us on the wrong tubes",2022-12-27,7.0,7.4,15320,0,0,Good,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02,1,47,706,0.40000000000000036,23.06,40.69,1.9167042380858987,0.9211814584419777
850,850,keystone-house,"Excellent location Clean, big TV, comfortable bed",2023-10-29,9.0,7.9,5933,0,0,Superb,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02,1,7,400,1.0999999999999996,19.94,38.99,1.6682661747937197,0.7791619992879144
851,851,nyx-hotel-london-by-leonardo-hotels,posizionecamere piccole,2022-04-20,8.0,8.4,9394,1,0,Very good,5,8.7,8.7,8.8,8.9,7.9,9.3,2024-12-02,2,2,957,0.40000000000000036,0.8,35.61,3.321928094887362,0.3186484231221223
852,852,stgileshotel,LocationMattress on bed was way to hard,2024-11-04,6.0,7.0,14989,0,0,"Great location, no sleep",3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,4,7,28,1.0,8.51,64.37,2.0934667996571843,1.3358384538455361
853,853,park-plaza-county-hall,"location is great, quite, safe and close to restaurants, coffee shops, close to London eye  easy to reach
fast check in  out, great front desk team
room is spacious and beds are comfortablethe cleaning service is not good comparing it to my previous stay
some furniture need to be renewed",2024-11-10,8.0,8.6,11045,0,0,Great Stay,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,2,50,22,0.5999999999999996,23.2,46.11,0.27407753022480824,1.0134515220817573
854,854,z-trafalgar,LocationNothing,2023-09-04,10.0,8.4,13923,0,0,Central location in the heart of London,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02,7,1,455,1.5999999999999996,40.4,-217.19,2.4192407118057893,0.8690013040492119
855,855,montcalm-chilworth-townhouse,I like the janitor or the guy who brought me a spoon he was very nice towards me or he might of been the bellboy Im not sureI didnt like my room I didnt like the facilities were very small the massage was very short the facilities were broken down as well and just how they didnt understand it was my birthday and they didnt make any special arrangements even seeing my ID with my date of birth on it only the the bellboy or the guy who showed me to my room was nice I remembered my birthday and took time to talk to me,2021-12-14,3.0,7.7,9205,0,0,Not worth the money to stay at this place at all its overpriced for what you get,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02,17,106,1084,4.7,43.91,-10.74,1.7407134636548187,0.7684354325697247
856,856,sidneyhotel,"the room too small, the price is too much some hotel able to check in an hour before, this hotel they wont let you check in",2022-09-28,6.0,7.8,12641,0,0,Pleasant,3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02,1,26,796,1.7999999999999998,10.4,87.39,1.449265598178627,1.0580067035382095
857,857,hanoverhotel,"Nice room decor had a great view of the city, great location, nice breakfast also",2023-05-16,10.0,7.8,5613,0,0,Exceptional,4,8.6,7.8,8.4,8.4,7.9,8.9,2024-12-02,1,15,566,2.2,8.67,81.63,0.6679753979046307,0.827743359112629
858,858,stgileshotel,"The hotel is in very central location Hood service and cleanRooms  even the upgraded ones  are tiny, not even a closet to hang clothes or a place to ope Your suitcase
Way toooo small",2024-08-15,6.0,7.0,14989,0,0,Pleasant,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,1,34,109,1.0,15.95,62.35,1.3975768870541658,0.6620875319677038
